Date,close
,SNOW
2025-02-05,188.92999267578125
2025-02-06,186.3699951171875
2025-02-07,184.02999877929688
2025-02-10,186.1199951171875
2025-02-11,183.5500030517578
2025-02-12,187.22999572753906
2025-02-13,192.66000366210938
2025-02-14,187.60000610351562
2025-02-18,192.77999877929688
2025-02-19,186.55999755859375
2025-02-20,184.9600067138672
2025-02-21,177.88999938964844
2025-02-24,170.9199981689453
2025-02-25,164.1999969482422
2025-02-26,166.19000244140625
2025-02-27,173.69000244140625
2025-02-28,177.10000610351562
2025-03-03,173.64999389648438
2025-03-04,173.60000610351562
2025-03-05,177.30999755859375
2025-03-06,156.22000122070312
2025-03-07,158.91000366210938
2025-03-10,147.58999633789062
2025-03-11,149.89999389648438
2025-03-12,152.3699951171875
2025-03-13,149.8300018310547
2025-03-14,156.11000061035156
2025-03-17,156.38999938964844
2025-03-18,154.36000061035156
2025-03-19,155.9600067138672
2025-03-20,157.19000244140625
2025-03-21,158.38999938964844
2025-03-24,163.1699981689453
2025-03-25,162.8300018310547
2025-03-26,159.74000549316406
2025-03-27,156.97999572753906
2025-03-28,150.6300048828125
2025-03-31,146.16000366210938
2025-04-01,149.5399932861328
2025-04-02,153.91000366210938
2025-04-03,139.89999389648438
2025-04-04,130.52999877929688
2025-04-07,131.0399932861328
2025-04-08,133.50999450683594
2025-04-09,151.14999389648438
2025-04-10,144.4499969482422
2025-04-11,144.9600067138672
2025-04-14,144.5500030517578
2025-04-15,146.5399932861328
2025-04-16,146.0800018310547
2025-04-17,143.42999267578125
2025-04-21,137.0
2025-04-22,140.22999572753906
2025-04-23,147.38999938964844
2025-04-24,158.66000366210938
2025-04-25,158.39999389648438
2025-04-28,158.9600067138672
2025-04-29,160.35000610351562
2025-04-30,159.49000549316406
2025-05-01,165.36000061035156
2025-05-02,167.66000366210938
2025-05-05,167.8699951171875
2025-05-06,168.4499969482422
2025-05-07,170.55999755859375
2025-05-08,173.97000122070312
2025-05-09,174.13999938964844
2025-05-12,180.5399932861328
2025-05-13,181.02000427246094
2025-05-14,181.4499969482422
2025-05-15,182.97000122070312
2025-05-16,183.0800018310547
2025-05-19,182.0500030517578
2025-05-20,182.8800048828125
2025-05-21,179.1199951171875
2025-05-22,203.17999267578125
2025-05-23,200.0500030517578
2025-05-27,206.35000610351562
2025-05-28,204.39999389648438
2025-05-29,202.30999755859375
2025-05-30,205.6699981689453
2025-06-02,210.1699981689453
2025-06-03,209.14999389648438
2025-06-04,209.60000610351562
2025-06-05,210.10000610351562
2025-06-06,210.83999633789062
2025-06-09,210.85000610351562
2025-06-10,208.24000549316406
2025-06-11,208.61000061035156
2025-06-12,211.27999877929688
2025-06-13,208.17999267578125
2025-06-16,209.1199951171875
2025-06-17,209.4499969482422
2025-06-18,212.0800018310547
2025-06-20,211.99000549316406
2025-06-23,213.7100067138672
2025-06-24,223.13999938964844
2025-06-25,221.52000427246094
2025-06-26,221.9199981689453
2025-06-27,222.61000061035156
2025-06-30,223.77000427246094
2025-07-01,215.97000122070312
2025-07-02,217.33999633789062
2025-07-03,221.49000549316406
2025-07-07,225.7899932861328
2025-07-08,223.5
2025-07-09,221.89999389648438
2025-07-10,214.4199981689453
2025-07-11,210.83999633789062
2025-07-14,213.52000427246094
2025-07-15,212.7899932861328
2025-07-16,211.94000244140625
2025-07-17,211.5800018310547
2025-07-18,216.88999938964844
2025-07-21,215.64999389648438
2025-07-22,212.25
2025-07-23,212.55999755859375
2025-07-24,215.02000427246094
2025-07-25,219.50999450683594
2025-07-28,218.6699981689453
2025-07-29,218.75999450683594
2025-07-30,220.27999877929688
2025-07-31,223.5
2025-08-01,205.02000427246094
