Date,index_return,index_level
2025-02-06,0.005785596909008662,1005.7855969090086
2025-02-07,-0.013323141358756762,992.3853732247884
2025-02-10,0.0342163427886929,1026.3411713335327
2025-02-11,-0.02479610390275643,1000.8919090094696
2025-02-12,-0.00813112108388927,992.7535357054286
2025-02-13,0.03873676205158238,1031.2095931939168
2025-02-14,0.005920751696800108,1037.315129142576
2025-02-18,0.0013930788169224662,1038.760190875458
2025-02-19,-0.01200011036240768,1026.2949539448769
2025-02-20,-0.0022097556832165743,1024.0270928377406
2025-02-21,-0.03695749748759303,986.1816141269626
2025-02-24,-0.016539727685503502,969.8704387808524
2025-02-25,-0.029659741952830776,941.1043318389335
2025-02-26,0.010639364393277785,951.1170837574601
2025-02-27,-0.019935921782703717,932.1556879694781
2025-02-28,0.015074416873778206,946.2073914011935
2025-03-03,-0.04164875668672637,906.7990299815431
2025-03-04,0.010547876057457242,916.3638337588109
2025-03-05,0.04209336033113893,954.9366668076443
2025-03-06,-0.03990173901982585,916.8330331482233
2025-03-07,0.013395894513213536,929.1148317465065
2025-03-10,-0.06296192366312278,870.6159746358078
2025-03-11,0.004432999293946017,874.4754146366664
2025-03-12,0.010729547730292988,883.8581403369782
2025-03-13,-0.01951061521861085,866.6135242530264
2025-03-14,0.03329434151288734,895.4668508891934
2025-03-17,0.007534318135805939,902.2135830238608
2025-03-18,-0.01668253972648717,887.1623690832889
2025-03-19,0.025151443617996885,909.4757833892959
2025-03-20,-0.00803938839858217,902.1641543275246
2025-03-21,0.005722906336500356,907.327155282889
2025-03-24,0.03511001896833978,939.183428915361
2025-03-25,-0.001093255969436613,938.1566610253033
2025-03-26,-0.028140351725819447,911.7566026101309
2025-03-27,-0.026589671577411413,887.5132939881911
2025-03-28,-0.039767649189220926,852.2189766620988
2025-03-31,-0.013844947836670753,840.4200493847911
2025-04-01,1.6767984490793301e-06,840.4214585998265
2025-04-02,0.015772167794686376,853.6767268631179
2025-04-03,-0.05510350688111957,806.6361454701645
2025-04-04,-0.05007401141968139,766.2446379103637
2025-04-07,0.0057000234376760935,770.6122503054464
2025-04-08,-0.018473844346532254,756.3760795417727
2025-04-09,0.13288697624707924,856.8886096576991
2025-04-10,-0.03795757146290754,824.3631990208655
2025-04-11,0.013703163220183945,835.6595824897615
2025-04-14,-0.00442950334556832,831.9580255733669
